variant,use_dropout,use_batchnorm,epochs,batch_size,train_size,test_size,lr,dropout_ratio,final_loss,train_accuracy,test_accuracy,total_params,elapsed_sec,loss_history
baseline_dropout_batchnorm,True,True,20,128,60000,10000,0.001,0.5,0.043077633859493966,99.80666666666667,98.48,537354,272.69434810000166,"[0.413721, 0.191418, 0.149199, 0.125089, 0.110785, 0.098099, 0.088317, 0.08088, 0.075728, 0.073078, 0.065652, 0.062226, 0.059615, 0.054379, 0.05476, 0.049773, 0.047518, 0.047192, 0.043224, 0.043078]"
no_dropout,False,True,20,128,60000,10000,0.001,0.0,0.006225230875731659,99.96333333333334,98.33,537354,263.7240182999958,"[0.1864, 0.069119, 0.040131, 0.029797, 0.0224, 0.016684, 0.016514, 0.016508, 0.010724, 0.01011, 0.011586, 0.011099, 0.008429, 0.007211, 0.008548, 0.006644, 0.006447, 0.008571, 0.007808, 0.006225]"
no_batchnorm,True,False,20,128,60000,10000,0.001,0.5,0.038907532613156666,99.77000000000001,98.36,535818,390.6841136000003,"[0.448264, 0.191108, 0.141412, 0.116133, 0.103355, 0.08967, 0.080663, 0.075638, 0.066794, 0.062639, 0.060933, 0.056502, 0.051579, 0.049115, 0.045825, 0.045436, 0.042609, 0.043155, 0.038974, 0.038908]"
no_dropout_no_batchnorm,False,False,20,128,60000,10000,0.001,0.0,0.007729186341226551,99.81666666666666,97.98,535818,220.1487175999937,"[0.231314, 0.084119, 0.052137, 0.037088, 0.026294, 0.020263, 0.016917, 0.016848, 0.012925, 0.013501, 0.012887, 0.008546, 0.007155, 0.012427, 0.007092, 0.008107, 0.009152, 0.004508, 0.010455, 0.007729]"
